종목코드,판매비와관리비,판매비와관리비_전기,판매비와관리비_전전기,매출원가,매출원가_전기,매출원가_전전기
015750,,,,3840846391075.0,3768399892874.0,3817969083055.0
365340,23417871288.0,34291683871.0,30730186032.0,225744868717.0,173316487051.0,224976034050.0
253590,25749244309.0,22856375111.0,22422817124.0,34132119486.0,65913996471.0,70421731121.0
035890,86416397436.0,71184545584.0,62137432141.0,869325108596.0,1166678674971.0,1151554959168.0
018290,,,,172238215697.0,192768600795.0,155602841892.0
024850,41900821620.0,14728471130.0,3891974274.0,27914222605.0,22509904482.0,17626944585.0
348370,90132585345.0,126966428775.0,47294618779.0,314314934266.0,304612859219.0,374625799911.0
056080,8562185908.0,6263135865.0,9827861889.0,24660648927.0,20611319233.0,14784169350.0
126340,23436511827.0,27113558389.0,15018898811.0,57018675823.0,40546131925.0,36908989042.0
336570,54109395202.0,39353476551.0,28224043940.0,51043247828.0,41111524069.0,41367646650.0
077360,41256424497.0,37357066511.0,21858550421.0,192335088572.0,179896193196.0,133560356016.0
348340,18316396577.0,23154301821.0,16046845915.0,15494384242.0,21130108992.0,12521451663.0
030520,161718872136.0,146849798396.0,125223637353.0,128628637213.0,117500810872.0,111726082309.0
214430,20168645962.0,17261100191.0,12130977433.0,87649060059.0,88680804681.0,97203738847.0
080580,12967905088.0,11851289430.0,11097498848.0,70319662827.0,52923911961.0,46015264643.0
092190,110303316606.0,99524589763.0,95931658827.0,653279998724.0,596220543018.0,480979062701.0
144960,115081524680.0,105351132369.0,71208416071.0,434239698359.0,388356891897.0,263369808534.0
064290,33446811468.0,40038052760.0,33901643501.0,60052909866.0,59422711684.0,51992338404.0
272290,70584702602.0,58648151797.0,61255766429.0,287127848665.0,277356698153.0,283584832390.0
104830,66581123726.0,64682090629.0,53182128410.0,199388480818.0,194113623994.0,313802483441.0
092730,57623757047.0,49373659130.0,40078000480.0,45785769875.0,44986670200.0,31719585280.0
475960,13011501775.0,12369688262.0,8915282220.0,3864103633.0,2348739332.0,1565105064.0
078130,6037630697.0,5459964933.0,5905926017.0,62242275108.0,52194118415.0,48836879547.0
013030,26889234819.0,25640711560.0,24857650403.0,128765775171.0,114740897834.0,112089962547.0
468530,12907570355.0,10584085067.0,7759100156.0,1411310757.0,837849549.0,75000000.0
219130,3464417356.0,3151885094.0,2906910343.0,69994709629.0,60587610308.0,48739146909.0
236200,58043508320.0,47202088962.0,41452125634.0,46513790641.0,37744209082.0,36516802744.0
089890,8970051863.0,11389271185.0,9149670023.0,56017596334.0,63403769500.0,78483550102.0
368770,8482830778.0,6430697055.0,5165735924.0,24872290641.0,19306282328.0,11604093051.0
389470,25438947116.0,20718026677.0,16544775103.0,5880872911.0,28568635.0,74381126.0
025900,145114145876.0,137896064297.0,141299623966.0,698243095779.0,697390406762.0,777010162156.0
241770,32442247607.0,25000816538.0,22289547461.0,46811284650.0,33739191087.0,23919325815.0
089010,104271281099.0,82047063555.0,70427614434.0,510013598932.0,455855194994.0,452714067063.0
078020,173816170342.0,146082892420.0,137512533457.0,,,
107640,27080013102.0,17441969007.0,15389352466.0,144158826365.0,150241636910.0,118834746742.0
372320,36289500534.0,36624042261.0,31129752767.0,0.0,0.0,0.0
125490,10092435371.0,8519602523.0,7129349301.0,135496936846.0,123646824840.0,99941061638.0
215200,380252603809.0,409903920531.0,399622157843.0,383122729412.0,408704544532.0,408137261306.0
006910,8266883397.0,6082709878.0,5074132337.0,112413580411.0,66155365555.0,70071795224.0
025320,,,,212024660460.0,176444994876.0,199835471340.0
060280,22476222513.0,20449081722.0,18162937908.0,49693789409.0,40903681813.0,53583836478.0
003800,143454441180.0,143789479995.0,139298631034.0,119721582986.0,115967135847.0,110085573224.0
114810,29043043425.0,24539420529.0,23878977286.0,136470247194.0,109532555516.0,91836953729.0
121440,96168274353.0,96951925655.0,102978983243.0,230124084631.0,249739048680.0,267473030806.0
078160,42111146881.0,38045911292.0,36098426863.0,28220447055.0,26519096015.0,28458839355.0
206650,25534161683.0,21631835751.0,26319437559.0,62997644573.0,40082126277.0,35347113544.0
170920,43052999628.0,37238780411.0,38350571307.0,237702291363.0,215550123224.0,91053601153.0
098120,9183916914.0,7860845208.0,6352108901.0,73385853146.0,51599230271.0,51036273340.0
441270,33019323265.0,40809244223.0,27160725445.0,204166976369.0,349269508467.0,332534922916.0
200710,28598841812.0,28650896408.0,29875764495.0,133059943290.0,94848086723.0,87703647014.0
356680,24790733678.0,22752989003.0,22582013553.0,19591863751.0,16978093883.0,16136436735.0
036620,128396243532.0,116566830480.0,88491187340.0,77167792521.0,67776401990.0,57214115514.0
348210,33716549491.0,32546323487.0,26155881364.0,34358581374.0,34198824653.0,25609153249.0
092870,20313532704.0,22658935233.0,26786387716.0,45633089827.0,24849745104.0,54045280248.0
332570,24075641073.0,15275079095.0,10454099005.0,97492307354.0,96083559930.0,51270966769.0
033160,34305237156.0,29642189542.0,26660657346.0,1355331147458.0,1084882046431.0,1043862865160.0
069540,9526668650.0,10546206619.0,11056082606.0,38774397384.0,17858111603.0,19991710561.0
036800,103059670747.0,102439318676.0,102276489670.0,936331507617.0,832823521228.0,752618533404.0
393890,13601859021.0,17806123720.0,12473613357.0,223972080741.0,375204878982.0,246264954346.0
900290,,,,3736167092.0,3392009955.0,3402175368.0
067630,21532261300.0,20483300110.0,21868661095.0,46246635169.0,36051556465.0,36469985848.0
199800,24434150168.0,22471488155.0,18022511973.0,166590069.0,217932388.0,168445146.0
352480,19693603173.0,16934329602.0,16492535667.0,246613447631.0,236986540507.0,171744885452.0
330860,10623516867.0,9584676326.0,7446782172.0,98710604461.0,112310743861.0,114802213521.0
472850,199293390066.0,153093440011.0,1468801082.0,228898403771.0,174236713106.0,644909222.0
079370,105581973531.0,92169360079.0,90857926964.0,282190584717.0,349443943857.0,304868787214.0
101930,9651908348.0,8595351716.0,8054938636.0,82772086692.0,73927559260.0,91010205809.0
018000,12743573904.0,14259731401.0,17488271661.0,37057335069.0,23985896709.0,109820692369.0
455900,12887727457.0,13351235711.0,9263630852.0,2030071475.0,1701542821.0,2379170428.0
078350,22854250517.0,21311949237.0,17024737194.0,604325906826.0,538812412174.0,442716089902.0
110990,13930500604.0,17713270270.0,8743739856.0,70918098838.0,74852658166.0,89673321291.0
039440,37709984067.0,36981740921.0,41074451817.0,270629749951.0,269753232354.0,254441761394.0
093520,18254919390.0,15013967444.0,13050929561.0,179891755559.0,157677760340.0,136013511918.0
290550,16735273693.0,14151338013.0,12104940717.0,387467323165.0,366112829944.0,253426352953.0
061970,35959447374.0,37045632726.0,35432009773.0,483622547431.0,432642568683.0,394143558872.0
017890,34379883378.0,32063149109.0,28924168331.0,357686649231.0,361515938751.0,387468359374.0
417840,17480422914.0,18356711324.0,15165902500.0,26173522551.0,24952911644.0,20456300293.0
092460,21603003931.0,17792034202.0,20816709087.0,89601980235.0,70480826638.0,52762595986.0
025770,18096551000.0,17882401000.0,15380154000.0,773004704000.0,733960057000.0,674060676000.0
091580,28099126977.0,31827593891.0,24540082664.0,213329514240.0,219829452789.0,235492530533.0
035810,415144926617.0,388701182011.0,329358495926.0,2822409301542.0,2772878337421.0,2686020729005.0
168360,34219408637.0,31611637462.0,30776738704.0,32458492687.0,29015918419.0,34877175348.0
200670,37187398347.0,31862258986.0,33043586161.0,90536024074.0,86869375260.0,81920151885.0
117730,23983590500.0,19144250004.0,17678336201.0,31737522401.0,48563125382.0,57248277091.0
439090,57342901509.0,60387536615.0,51049690236.0,45218199869.0,48974499975.0,38089200578.0
035600,199295556380.0,181868863059.0,174083211486.0,1047946846035.0,1062239726112.0,1057432960514.0
376270,16214999885.0,9303305424.0,12561771442.0,12347814240.0,13445726517.0,4543529378.0
036890,51067555508.0,46073307463.0,42932687290.0,364809870516.0,319999996985.0,402596887589.0
228760,12011727697.0,14586827041.0,17033467378.0,3046166836.0,3088871802.0,3688031590.0
123330,7571254591.0,5587808099.0,7256710009.0,55653452436.0,38296882775.0,24836242538.0
054950,27276272670.0,23212169425.0,24117219676.0,102290460903.0,95709476365.0,94490123824.0
265520,57548653344.0,53465608954.0,46952735967.0,371078606317.0,416639310182.0,428166818863.0
482630,13997219201.0,11711078139.0,9287843330.0,93756595326.0,88057070026.0,81946830624.0
138080,22000126817.0,25501051895.0,30330968844.0,51376129703.0,36883778066.0,46752442054.0
448900,7532484300.0,6846806549.0,6116497781.0,27943074956.0,26993631386.0,27574820829.0
051500,532517268330.0,506345021267.0,475010160722.0,2846911789581.0,2624408724088.0,2499976590401.0
484590,7943067691.0,6255535773.0,5492162449.0,120033186875.0,117280466253.0,70629109328.0
136480,174660773000.0,166828141000.0,173703519000.0,1217653322000.0,1090078044000.0,1196687271000.0
043150,166452330645.0,150216647240.0,141136706488.0,205184613190.0,181015008120.0,179766745002.0
049070,49213628121.0,51544661951.0,51283478216.0,552871659005.0,559338097929.0,507786416964.0
448280,4489176672.0,4692010801.0,7325725361.0,25473907215.0,20878407645.0,39264131412.0
042520,77404839574.0,51121318752.0,49278009653.0,38265571603.0,29390514970.0,32908903974.0
200130,56394471453.0,60435449187.0,50748890635.0,491844455283.0,530583311129.0,498546751948.0
098070,14069222340.0,15021185182.0,9468482644.0,119651691934.0,124092331985.0,153961666781.0
424870,8294566946.0,5866977215.0,5873193702.0,,,
481070,29802639727.0,18098646484.0,12074737636.0,20125247159.0,14073315923.0,13596684836.0
488900,9795489001.0,12707799447.0,11438968960.0,34359764510.0,31733588680.0,41988126933.0
099440,42635924890.0,31647434675.0,22478428427.0,127763215724.0,145696409387.0,132114354559.0
159010,11447413486.0,12685049328.0,9898862857.0,63491484725.0,72788856192.0,70621765201.0
389650,12247857844.0,9397109788.0,7335118050.0,4948485824.0,3720252313.0,2773614350.0
091700,100722381476.0,105490438430.0,87697970961.0,1204057883654.0,1319224228703.0,1043026330702.0
036200,17878423668.0,15343930159.0,18977441212.0,244550164325.0,192842495052.0,195746219861.0
187660,7409816265.0,16033696815.0,5127508318.0,9239433617.0,9643736022.0,10573692215.0
151860,545886678892.0,471432203376.0,523074944031.0,6840054172591.0,6586894518900.0,6424316803728.0
309710,10859972107.0,7650298218.0,5894237015.0,52957843142.0,37858086452.0,38366209099.0
011560,9149886160.0,18574700023.0,16780385463.0,666275219453.0,741597771439.0,817043724776.0
243070,236613402635.0,245524969255.0,230105194804.0,338554897946.0,305011002327.0,265898988245.0
182400,9190143789.0,11204393535.0,73867072428.0,1204804952.0,1660238196.0,3562355530.0
267980,433908501787.0,435534894725.0,425344002557.0,1349602214401.0,1305564605115.0,1285406091808.0
160980,17992084917.0,16317958705.0,15301672004.0,123066718955.0,125335093421.0,134211924448.0
461300,71413164509.0,58416924982.0,47482712042.0,62734379316.0,47662832968.0,41527694811.0
121800,10016610582.0,10779204717.0,13710202738.0,7349806926.0,9905712394.0,6193966381.0
200470,4663090275.0,6025479149.0,6753053737.0,101068682267.0,102229883603.0,109869759154.0
023410,136869539949.0,124435303361.0,114656262095.0,1163444686847.0,1213862971244.0,1274327092504.0
377460,17964085042.0,25326183937.0,147879854929.0,75598984444.0,91904571820.0,232573071705.0
