종목코드,조회코드,종목명,영문명,시장구분,통화,현재가,등락률,시가총액,거래량,배당수익률,업종_소분류,상장폐지여부,국가,기준연도,결산월,매출액_전전기,매출액_원화_전전기,매출액,매출액_원화,매출액_전기,매출액_원화_전기,PER_전전기,PER,PER_전기,PBR_전전기,PBR,PBR_전기,EBITDA_전전기,EBITDA_원화_전전기,EBITDA,EBITDA_원화,EBITDA_전기,EBITDA_원화_전기,영업이익_전전기,영업이익_원화_전전기,영업이익,영업이익_원화,영업이익_전기,영업이익_원화_전기,당기순이익_전전기,당기순이익_원화_전전기,당기순이익,당기순이익_원화,당기순이익_전기,당기순이익_원화_전기,배당수익률_전전기,배당수익률_전기,ROA_전전기,ROA,ROA_전기,영업이익률
300986,300986.SZ,지특신재,GETO New Materials Group Corporation Limited Class A,심천,CNY,12.04,0.17,6931703006.0,33069849.0,0.59,건설 자재 및 비품,True,중국,2025,12.31,2238050000.0,449535000000.00006,2968160000.0,596185000000.0,2526390000.0,507450000000.0,,34.51,107.95,3.06,3.27,5.51,993960000.0,199646000000.0,1057240000.0,212358000000.0,1060700000.0,213052000000.0,43430000.0,8723000000.0,299650000.0,60187000000.0,152870000.0,30705000000.0,-45300000.0,-9098000000.0,163590000.0,32858000000.0,73700000.0,14802000000.000002,0.54,0.29,-0.81,2.8,1.63,10.1
002737,002737.SZ,규화제약,Sunflower Pharmaceutical Group Co Ltd Class A,심천,CNY,11.83,0.77,6908720000.0,5695163.0,1.7,제약,True,중국,2025,12.31,5700290000.0,1144960000000.0,2317960000.0,465585000000.00006,3377050000.0,678314000000.0,8.84,,13.9,2.07,1.97,1.63,1481890000.0,297652000000.0,-71170000.0,-14296000000.0,801170000.0,160923000000.0,1300680000.0,261255000000.00003,-244330000.0,-49076000000.0,622550000.0,125045000000.0,1119140000.0,224791000000.0,-257829999.99999997,-51787000000.0,492050000.0,98832000000.0,8.88,4.1,16.75,-5.33,7.91,-10.54
300406,300406.SZ,구강바이오테크,Beijing Strong Biotechnologies Inc Class A,심천,CNY,11.78,0.43,6904734689.0,4729428.0,8.95,"의료 장비, 물품 및 유통",True,중국,2025,12.31,1741630000.0,349823000000.0,1355510000.0,272267000000.0,1658930000.0,333213000000.0,17.98,20.57,12.94,2.51,1.82,1.67,674740000.0,135528000000.0,511080000.0,102656000000.0,724840000.0,145591000000.0,618530000.0,124238000000.00002,441950000.0,88770000000.0,654050000.0,131372000000.0,523740000.0,105199000000.0,189870000.0,38138000000.0,532640000.0,106984999999.99998,1.26,5.12,10.67,3.59,9.88,32.6
300080,300080.SZ,역성신에너지,Henan Yicheng New Energy Co Ltd Class A,심천,CNY,3.68,0.27,6894040004.0,12394412.0,0.0,재생 가능 에너지 장비 및 서비스,True,중국,2025,12.31,9884210000.0,1985341999999.9998,3534840000.0,710007000000.0,3422180000.0,687378000000.0,205.5,,,1.33,1.62,1.7,641840000.0,128921000000.0,-185450000.0,-37249000000.0,-207350000.0,-41648000000.0,174570000.0,35064000000.0,-552940000.0,-111063000000.00002,-635330000.0,-127613000000.00002,46060000.0,9252000000.0,-669390000.0,-134454000000.0,-851350000.0,-171002000000.0,,,0.18,-5.94,-6.97,-15.64
000503,000503.SZ,해홍홀딩스,China Reform Health Management and Services Group Co Ltd Class A,심천,CNY,7.03,0.0,6883847706.0,16420900.0,0.0,경영 지원 서비스,True,중국,2025,12.31,330130000.0,66309000000.0,350440000.0,70390000000.0,356900000.0,71686000000.0,,,,7.19,6.79,5.13,-81580000.0,-16385000000.0,-104900000.0,-21070000000.0,-124100000.0,-24928000000.0,-115320000.0,-23163000000.0,-148470000.0,-29820999999.999996,-159870000.0,-32111000000.0,-79790000.0,-16027000000.000002,-403990000.0,-81146000000.0,-10380000.0,-2084000000.0,,,-5.25,-20.92,-0.57,-42.37
002448,002448.SZ,중원내배,ZYNP Corp Class A,심천,CNY,11.66,-1.44,6860856472.0,16426095.0,1.69,"자동차, 트럭 및 오토바이 부품",True,중국,2025,12.31,2864280000.0,575319000000.0,3922060000.0,787784000000.0,3310140000.0,664875000000.0,14.79,17.25,29.08,1.38,1.9,2.57,546300000.0,109729000000.0,777880000.0,156245000000.0,605200000.0,121559999999.99998,329090000.0,66101000000.0,524570000.00000006,105364000000.00002,380150000.0,76357000000.0,310700000.0,62407000000.00001,409340000.0,82221000000.0,203910000.0,40957000000.0,1.66,0.86,6.01,7.55,4.07,13.37
301602,301602.SZ,산터우 초성의기연구소,Shantou Institute of Ultrasonic Instrument Co Ltd Class A,심천,CNY,16.0,-0.5,6853274208.0,3087100.0,0.93,첨단 의료 장비 및 기술,True,중국,2025,12.31,326540000.0,65589000000.0,405510000.0,81451000000.0,375810000.0,75486000000.0,94.91,47.28,55.95,15.14,5.17,9.36,117180000.0,23537000000.0,165200000.0,33181000000.0,148180000.0,29763000000.0,105990000.0,21289000000.0,153850000.0,30902000000.0,137980000.0,27714999999.999996,115430000.0,23185000000.0,148920000.0,29913000000.0,145580000.0,29241000000.000004,,0.54,14.56,11.94,15.78,37.94
002194,002194.SZ,무한범곡,Wuhan Fingu Electronic Technology Co Ltd Class A,심천,CNY,9.96,-0.9,6805526628.0,27271392.0,0.0,통신 및 네트워킹,True,중국,2025,12.31,1587620000.0,318889000000.0,1351950000.0,271553000000.00003,1482400000.0,297754000000.0,99.84,,129.45,3.17,2.8,3.04,152940000.0,30719000000.0,64200000.0,12894000000.0,112340000.0,22565000000.0,67650000.0,13588000000.0,-22520000.0,-4524000000.0,19340000.0,3884000000.0000005,84150000.0,16902000000.000002,-11650000.0,-2340000000.0,53250000.0,10695000000.0,1.0,0.62,2.58,-0.39,1.73,-1.67
301568,301568.SZ,하문 사태극지능과기,XiaMen Sinictek Intelligent Technology Co Ltd Class A,심천,CNY,65.9,-3.57,6804728560.0,2858000.0,0.88,산업용 기계 및 장비,True,중국,2025,12.31,348680000.0,70035000000.0,481460000.0,96706000000.0,348680000.0,70035000000.0,44.26,64.93,76.27,3.41,6.89,5.88,87060000.0,17487000000.0,143630000.0,28849000000.0,87060000.0,17487000000.0,73160000.0,14694999999.999998,119480000.0,23999000000.0,73160000.0,14694999999.999998,77310000.0,15529000000.0,111760000.0,22448000000.0,77310000.0,15529000000.0,1.69,0.98,6.96,9.62,6.96,24.82
300893,300893.SZ,송원고분,Zhejiang Songyuan Automotive Safety Systems Co Ltd Class A,심천,CNY,14.36,-2.84,6792298180.0,3957964.0,0.53,"자동차, 트럭 및 오토바이 부품",True,중국,2025,12.31,1280380000.0,257178000000.00003,2678090000.0,537921000000.0,1970970000.0,395890000000.0,36.23,18.02,38.06,6.76,3.32,7.31,292340000.0,58720000000.00001,553910000.0,111258999999.99998,390990000.0,78535000000.0,232580000.0,46716000000.0,441720000.0,88724000000.0,308500000.0,61965000000.0,197780000.0,39727000000.0,366370000.0,73590000000.0,260380000.0,52301000000.0,0.63,0.46,11.21,10.14,10.17,16.49
