종목코드,종목명,시장구분,종목구분,현재가,등락률,시가총액,상장주식수,거래량,외국인비율,PER,ROE,당기순이익,매출액,부채총계,영업이익,자본총계,자산총계,부채비율,영업이익률,ROE_계산,기준연도,보고서
035420,NAVER,KOSPI,보통주,220500,1.85,33532900000000,152076,947514,35.95,17.11,7.37,1818746310015.0,12035007218975.0,12131482961723.0,2208138388720.0,28953013365595.0,41084496327318.0,41.9,18.35,6.28,2025,사업보고서
066570,LG전자,KOSPI,보통주,201500,1.61,32821300000000,162885,535676,29.5,34.88,4.28,1220412000000.0,89200882000000.0,40068142000000.0,2478392000000.0,28552025000000.0,68620167000000.0,140.33,2.78,4.27,2025,사업보고서
010120,LS ELECTRIC,KOSPI,보통주,214500,-2.28,32175000000000,150000,545317,18.72,82.75,14.67,284256733172.0,4965798552980.0,2815381465996.0,426407143017.0,2141298852376.0,4956680318372.0,131.48,8.59,13.27,2025,사업보고서
000810,삼성화재,KOSPI,보통주,687000,0.73,30672800000000,44647,78689,57.98,16.54,10.97,2020287132255.0,,75158009988554.0,2659143002144.0,21292379956314.0,96450389944868.0,352.98,,9.49,2025,사업보고서
298040,효성중공업,KOSPI,보통주,3153000,2.4,29400300000000,9325,62581,27.49,50.25,24.41,502837667965.0,5968511616609.0,4738162049013.0,746968417289.0,2489720957283.0,7227883006296.0,190.31,12.52,20.2,2025,사업보고서
267260,HD현대일렉트릭,KOSPI,보통주,814000,-0.85,29342400000000,36047,175929,34.57,34.49,41.5,731816191305.0,4079497658529.0,2736880469339.0,995313437790.0,2032934924019.0,4769815393358.0,134.63,24.4,36.0,2025,사업보고서
010130,고려아연,KOSPI,보통주,1375000,0.22,28700300000000,20873,21037,27.53,28.27,8.48,770249337092.0,16587850779912.0,9211501849078.0,1231926775791.0,10998929848586.0,20210431697664.0,83.75,7.43,7.0,2025,사업보고서
042660,한화오션,KOSPI,보통주,88500,-1.23,27117600000000,306413,526642,10.38,13.07,22.59,1245921538208.0,12783512278323.0,13965907018538.0,1167590137928.0,6175006995811.0,20140914014349.0,226.17,9.13,20.18,2025,사업보고서
005490,POSCO홀딩스,KOSPI,보통주,337500,-0.59,26744000000000,79242,174441,32.38,20.16,1.18,504403472266.0,69094886192787.0,42814746926182.0,1827063210829.0,62377691037383.0,105192437963565.0,68.64,2.64,0.81,2025,사업보고서
009540,HD한국조선해양,KOSPI,보통주,354500,-1.66,25089100000000,70773,146742,33.21,7.28,17.78,2928395265000.0,29933215227000.0,22633860456000.0,3904489578000.0,16908352832000.0,39542213288000.0,133.86,13.04,17.32,2025,사업보고서
316140,우리금융지주,KOSPI,보통주,33900,2.88,24682200000000,728090,1295034,46.06,8.04,8.91,3227508000000.0,,563598038000000.0,3674808000000.0,37859248000000.0,601457286000000.0,1488.67,,8.53,2025,사업보고서
017670,SK텔레콤,KOSPI,보통주,98600,-0.5,21178300000000,214790,1225347,34.44,28.33,3.33,375084000000.0,17099213000000.0,17152491000000.0,1073215000000.0,12955292000000.0,30107783000000.0,132.4,6.28,2.9,2025,사업보고서
042700,한미반도체,KOSPI,보통주,219500,-1.13,20921000000000,95312,547047,7.83,94.21,34.76,214007548411.0,576684619527.0,123004106583.0,251390142142.0,690327519537.0,813331626120.0,17.82,43.59,31.0,2025,사업보고서
015760,한국전력,KOSPI,보통주,32550,-4.12,20895900000000,641964,1995015,21.15,2.67,19.4,8666656000000.0,97429346000000.0,205604513000000.0,13490557000000.0,49322944000000.0,254927457000000.0,416.85,13.85,17.57,2025,사업보고서
011200,HMM,KOSPI,보통주,21700,1.17,20468300000000,943238,697738,8.57,14.58,6.9,1878732000000.0,10891443000000.0,6991856000000.0,1461202000000.0,26571277000000.0,33563133000000.0,26.31,13.42,7.07,2025,사업보고서
138040,메리츠금융지주,KOSPI,보통주,122000,2.52,20416400000000,167347,127176,14.32,9.15,22.53,2350134643625.0,,124196775797045.0,2872733957980.0,11261208003790.0,135457983800835.0,1102.87,,20.87,2025,사업보고서
000150,두산,KOSPI,보통주,1238000,1.98,20048000000000,16194,55393,20.37,71.38,4.99,249511000000.0,19784138000000.0,20693467000000.0,1062715000000.0,12234321000000.0,32927788000000.0,169.14,5.37,2.04,2025,사업보고서
096770,SK이노베이션,KOSPI,보통주,116900,4.38,19762300000000,169053,1262642,14.59,-16.82,-14.42,-5436441431000.0,80296054243000.0,69216985650000.0,448683859000.0,36391495746000.0,105608481396000.0,190.2,0.56,-14.94,2025,사업보고서
006800,미래에셋증권,KOSPI,보통주,36150,0.14,19630200000000,543021,675780,11.23,11.34,12.36,1582916000000.0,29283028000000.0,136805727000000.0,1915104000000.0,13478203000000.0,150283930000000.0,1015.01,6.54,11.74,2025,사업보고서
051910,LG화학,KOSPI,보통주,277000,0.91,19554100000000,70592,115282,37.34,-14.34,-5.5,-977063000000.0,45932167000000.0,53956116000000.0,1180900000000.0,47105545000000.0,101061661000000.0,114.54,2.57,-2.07,2025,사업보고서
018260,삼성에스디에스,KOSPI,보통주,243000,3.85,18802800000000,77378,274452,18.69,28.98,7.89,782669219514.0,13929868497711.0,3190804215776.0,957102744609.0,10262899983419.0,13453704199195.0,31.09,6.87,7.63,2025,사업보고서
010140,삼성중공업,KOSPI,보통주,21200,0.95,18656000000000,880000,2029082,28.95,33.02,13.74,535753735212.0,10650010702818.0,10853831158873.0,862210880029.0,4095039935055.0,14948871093928.0,265.05,8.1,13.08,2025,사업보고서
033780,KT&G,KOSPI,보통주,176300,1.03,18301800000000,103810,126772,50.9,14.21,11.77,1102316000000.0,6579707000000.0,4852958000000.0,1343666000000.0,9336169000000.0,14189127000000.0,51.98,20.42,11.81,2025,사업보고서
003550,LG,KOSPI,보통주,116300,1.57,17583600000000,151192,222018,37.24,24.16,2.64,1000121000000.0,7252547000000.0,3648076000000.0,912174000000.0,30334813000000.0,33982889000000.0,12.03,12.58,3.3,2025,사업보고서
278470,에이피알,KOSPI,보통주,461500,6.21,17277700000000,37438,351547,38.17,40.04,75.3,289654813287.0,1527344973381.0,325937736580.0,365520628934.0,445799810314.0,771737546894.0,73.11,23.93,64.97,2025,사업보고서
267250,HD현대,KOSPI,보통주,218000,0.93,17220500000000,78993,87891,26.8,6.3,10.25,3675482625000.0,71259438270000.0,48350799380000.0,6099636253000.0,30335091114000.0,78685890494000.0,159.39,8.56,12.12,2025,사업보고서
010950,S-Oil,KOSPI,보통주,149200,9.14,16797400000000,112583,410755,79.26,11.42,2.01,176952000000.0,34246957000000.0,17669556000000.0,235631000000.0,8887401000000.0,26556957000000.0,198.82,0.69,1.99,2025,사업보고서
024110,기업은행,KOSPI,보통주,20850,1.71,16626300000000,797426,870766,13.67,6.27,7.7,2718868000000.0,,463836597000000.0,3655589000000.0,36856024000000.0,500692621000000.0,1258.51,,7.38,2025,사업보고서
003670,포스코퓨처엠,KOSPI,보통주,186300,1.25,16570700000000,88946,320655,9.77,368.18,0.92,36521891144.0,2938698184392.0,4631817432921.0,32827283494.0,4512079082909.0,9143896515830.0,102.65,1.12,0.81,2025,사업보고서
035720,카카오,KOSPI,보통주,36850,2.36,16323900000000,442981,1479432,28.99,47.06,4.59,517959587282.0,8099147815086.0,12558602529761.0,732036535379.0,15224922016050.0,27783524545811.0,82.49,9.04,3.4,2025,사업보고서
079550,LIG디펜스앤에어로스페이스,KOSPI,보통주,734000,-1.48,16148000000000,22000,48584,27.34,56.37,19.2,237479536396.0,4306936127418.0,6588665379014.0,319442306790.0,1476107505166.0,8064772884180.0,446.35,7.42,16.09,2025,사업보고서
086280,현대글로비스,KOSPI,보통주,205000,0.74,15375000000000,75000,144013,46.52,9.98,18.13,1734697253045.0,29566409336616.0,8198766369501.0,2073007545910.0,10388453580786.0,18587219950287.0,78.92,7.01,16.7,2025,사업보고서
064350,현대로템,KOSPI,보통주,139100,0.36,15181700000000,109142,252365,39.54,18.8,30.05,770492199000.0,5839031553000.0,6276800158000.0,1005640509000.0,3041233616000.0,9318033774000.0,206.39,17.22,25.33,2025,사업보고서
011070,LG이노텍,KOSPI,보통주,611000,2.35,14460600000000,23667,179868,27.25,21.81,6.14,341262000000.0,21896603000000.0,6167829000000.0,665007000000.0,5763054000000.0,11930883000000.0,107.02,3.04,5.92,2025,사업보고서
000720,현대건설,KOSPI,보통주,128900,-0.31,14353800000000,111356,560482,25.92,32.29,4.58,559068000000.0,31062912000000.0,17678843000000.0,653006000000.0,10112865000000.0,27791708000000.0,174.82,2.1,5.53,2025,사업보고서
